X,Y,numero_pessoas
332859,7395705,1
332859,7395705,1
332183,7393905,1
332183,7393905,1
319355,7395619,7
319355,7395619,1
332371,7395923,1
332371,7395923,1
332820,7396267,1
324139,7383005,4
324139,7383005,1
332575,7395881,1
332494,7395699,1
332494,7395699,1
334514,7396710,3
334514,7396710,1
332368,7396088,2
332368,7396088,1
327754,7386575,1
332418,7395903,4
330893,7396748,8
331533,7392079,1
331533,7392079,1
332606,7396168,1
332595,7396222,1
335706,7402914,1
335706,7402914,1
332468,7395681,4
332468,7395681,1
333483,7396958,4
333483,7396958,1
332753,7397147,1
332753,7397147,1
332897,7395813,2
311273,7399999,7
329905,7396909,157
336608,7396231,1
331412,7397375,5
331412,7397375,1
332489,7396052,2
341477,7395108,5
330582,7396610,1
330582,7396610,1
330584,7396611,1
330584,7396611,1
333034,7396116,2
333514,7394958,2
333514,7394958,1
332668,7395666,2
338713,7391018,7
338713,7391018,1
332844,7393508,26
332999,7393516,1
332999,7393516,1
332545,7395676,2
338870,7390864,1
338870,7390864,1
335968,7398714,3
335968,7398714,1
334113,7399187,49
334113,7399187,1
332363,7395637,7
327517,7393727,1
327517,7393727,1
333180,7397208,1
333180,7397208,1
332436,7396598,9
332436,7396598,1
332724,7397185,2
331559,7396145,3
331559,7396145,1
333190,7395747,3
333190,7395747,1
331028,7393581,11
331028,7393581,1
335576,7394517,79
335576,7394517,1
333055,7395594,2
333055,7395594,1
332819,7387066,111
332819,7387066,1
332355,7395306,64
332355,7395306,1
334217,7397370,1
334217,7397370,1
332827,7395668,1
337292,7394930,21
337292,7394930,1
335989,7395091,74
335989,7395091,1
332996,7395489,2
332996,7395489,1
333210,7395270,3
333210,7395270,1
332395,7395721,1
330579,7393728,31
330579,7393728,1
333777,7395878,1
333777,7395878,1
333046,7396184,5
333046,7396184,1
326001,7401946,3
333173,7396067,4
333173,7396067,1
332399,7395715,2
331348,7393040,8
331348,7393040,1
332495,7395748,2
339582,7396579,1
339582,7396579,1
339311,7396330,1
339311,7396330,1
332167,7395896,3
332962,7394582,1
333099,7394528,1
333099,7394528,1
330795,7397608,36
330795,7397608,1
