X,Y,numero_pessoas
334501,7397259,6
334874,7397809,15
334838,7397637,1
332854,7391187,32
335890,7396452,1
335289,7397026,2
334965,7397702,2
342962,7402609,1
335941,7397906,1
334982,7397682,6
334706,7397514,9
334279,7397387,4
336114,7398417,5
335275,7396518,1
332763,7397628,1
336519,7397096,4
335010,7397822,1
342259,7403998,2
334988,7397163,1
334587,7396947,1
334750,7397354,1
334418,7396113,1
335050,7397787,1
334752,7396557,2
334106,7397354,1
335024,7397747,5
335024,7397747,1
335013,7397822,2
335022,7397866,4
335022,7397866,1
334825,7396840,1
335605,7396741,1
333038,7395129,8
335545,7396633,6
334766,7397421,2
335026,7397843,1
333824,7401125,1
335024,7397873,4
334901,7396065,1
335863,7395889,2
335071,7397765,1
335071,7397765,1
334728,7401059,2
334840,7397563,1
334840,7397563,1
341901,7401415,37
334996,7397774,1
335020,7397786,3
335020,7397786,1
334103,7397336,1
334106,7397347,1
332824,7390511,7
335904,7397277,1
332989,7389097,2
335828,7397317,1
335966,7396059,1
335484,7397376,2
335633,7397391,9
335633,7397391,1
333891,7396474,1
333135,7397026,1
328918,7390272,1
335682,7397396,5
333680,7396509,1
335614,7396884,1
335783,7397412,6
335179,7396421,1
334924,7396401,1
334829,7396017,1
334627,7396917,1
335837,7397212,2
336080,7397241,1
335206,7395674,1
333532,7396347,1
333532,7396347,1
334532,7392851,35
336464,7397088,25
334413,7396370,1
335690,7397360,2
335334,7396124,1
333090,7395733,1
335819,7397230,2
331940,7389480,1
334803,7396630,1
335748,7397390,2
328039,7392568,2
335512,7396596,1
325839,7397624,1
332143,7389310,1
333293,7395091,2
333514,7394996,1
336082,7397419,1
334791,7396538,3
334769,7396546,1
362921,7398389,1
327267,7380159,1
335117,7397705,3
338492,7396649,1
340568,7395183,2
348088,7401741,1
335962,7397100,8
337016,7396926,8
336609,7395881,2
335601,7397391,14
335328,7397476,4
335328,7397476,1
337554,7392520,2
335086,7397713,2
335086,7397713,1
311267,7399987,1
335109,7397708,1
341324,7394859,1
335225,7397591,8
333690,7397382,13
331490,7392915,73
339059,7393805,1
335411,7397248,1
335814,7397022,4
335814,7397022,1
335864,7397158,4
335864,7397158,1
335451,7396143,1
335014,7394817,6
336067,7395922,18
335883,7397165,2
331192,7395131,1
331598,7394843,1
335846,7397138,1
333145,7393623,1
334824,7396544,2
335348,7397124,1
336277,7397604,1
335819,7397496,3
334319,7396224,1
329633,7394070,10
335681,7397198,1
335681,7397198,1
335909,7397167,1
335696,7397353,6
335696,7397353,1
335763,7397251,1
335761,7397250,1
335761,7397250,1
335074,7396809,1
336770,7396134,1
322316,7397726,25
327978,7392820,1
336277,7389927,1
336777,7399402,1
329068,7388562,1
335804,7397244,1
339900,7398323,1
335104,7397729,1
331144,7397616,1
331277,7397898,1
335400,7397359,4
335400,7397359,1
